One,Two,Three,Four,Key
0.013315579,0.090909091,1,0.008,a
0.026631158,0.181818182,2,0.016,b
0.039946738,0.272727273,3,0.024,f
0.053262317,0.363636364,4,0.032,q
0.066577896,0.454545455,5,0.04,w
0.079893475,0.545454545,6,0.048,e
0.093209055,0.636363636,7,0.056,r
0.106524634,0.727272727,8,0.064,t
0.119840213,0.818181818,9,0.072,y
0.133155792,0.909090909,10,0.08,u
0.146471372,1,11,0.088,i
0.159786951,1.090909091,12,0.096,o
0.17310253,1.181818182,13,0.104,p
0.186418109,1.272727273,14,0.112,a
0.199733688,1.363636364,15,0.12,s
0.213049268,1.454545455,16,0.128,d
0.226364847,1.545454545,17,0.136,f
0.239680426,1.636363636,18,0.144,g
0.252996005,1.727272727,19,0.152,h
0.266311585,1.818181818,20,0.16,j
0.279627164,1.909090909,21,0.168,k
0.292942743,2,22,0.176,l
0.306258322,2.090909091,23,0.184,z
0.319573901,2.181818182,24,0.192,x
0.332889481,2.272727273,25,0.2,c
0.34620506,2.363636364,26,0.208,v
0.359520639,2.454545455,27,0.216,b
0.372836218,2.545454545,28,0.224,n
0.386151798,2.636363636,29,0.232,m
0.399467377,2.727272727,30,0.24,j
0.412782956,2.818181818,31,0.248,k
0.426098535,2.909090909,32,0.256,l
0.439414115,3,33,0.264,z
0.452729694,3.090909091,34,0.272,f
0.466045273,3.181818182,35,0.28,g
0.479360852,3.272727273,36,0.288,v
0.492676431,3.363636364,37,0.296,b
0.505992011,3.454545455,38,0.304,n
0.51930759,3.545454545,39,0.312,m
0.532623169,3.636363636,40,0.32,a
0.545938748,3.727272727,41,0.328,b
0.559254328,3.818181818,42,0.336,f
0.572569907,3.909090909,43,0.344,q
0.585885486,4,44,0.352,w
0.599201065,4.090909091,45,0.36,e
0.612516644,4.181818182,46,0.368,r
0.625832224,4.272727273,47,0.376,t
0.639147803,4.363636364,48,0.384,y
0.652463382,4.454545455,49,0.392,u
0.665778961,4.545454545,50,0.4,i
0.679094541,4.636363636,51,0.408,o
0.69241012,4.727272727,52,0.416,p
0.705725699,4.818181818,53,0.424,a
0.719041278,4.909090909,54,0.432,s
0.732356858,5,55,0.44,d
0.745672437,5.090909091,56,0.448,f
0.758988016,5.181818182,57,0.456,g
0.772303595,5.272727273,58,0.464,h
0.785619174,5.363636364,59,0.472,j
0.798934754,5.454545455,60,0.48,k
0.812250333,5.545454545,61,0.488,l
0.825565912,5.636363636,62,0.496,z
0.838881491,5.727272727,63,0.504,x
0.852197071,5.818181818,64,0.512,c
0.86551265,5.909090909,65,0.52,v
0.878828229,6,66,0.528,b
0.892143808,6.090909091,67,0.536,n
0.905459387,6.181818182,68,0.544,m
0.918774967,6.272727273,69,0.552,j
0.932090546,6.363636364,70,0.56,k
0.945406125,6.454545455,71,0.568,l
0.958721704,6.545454545,72,0.576,z
0.972037284,6.636363636,73,0.584,f
0.985352863,6.727272727,74,0.592,g
0.998668442,6.818181818,75,0.6,v
1.011984021,6.909090909,76,0.608,b
1.025299601,7,77,0.616,n
1.03861518,7.090909091,78,0.624,m
1.051930759,7.181818182,79,0.632,a
1.065246338,7.272727273,80,0.64,b
1.078561917,7.363636364,81,0.648,f
1.091877497,7.454545455,82,0.656,q
1.105193076,7.545454545,83,0.664,w
1.118508655,7.636363636,84,0.672,e
1.131824234,7.727272727,85,0.68,r
1.145139814,7.818181818,86,0.688,t
1.158455393,7.909090909,87,0.696,y
1.171770972,8,88,0.704,u
1.185086551,8.090909091,89,0.712,i
1.19840213,8.181818182,90,0.72,o
1.21171771,8.272727273,91,0.728,p
1.225033289,8.363636364,92,0.736,a
1.238348868,8.454545455,93,0.744,s
1.251664447,8.545454545,94,0.752,d
1.264980027,8.636363636,95,0.76,f
1.278295606,8.727272727,96,0.768,g
1.291611185,8.818181818,97,0.776,h
1.304926764,8.909090909,98,0.784,j
1.318242344,9,99,0.792,k
1.331557923,9.090909091,100,0.8,l
1.344873502,9.181818182,101,0.808,z
1.358189081,9.272727273,102,0.816,x
1.37150466,9.363636364,103,0.824,c
1.38482024,9.454545455,104,0.832,v
1.398135819,9.545454545,105,0.84,b
1.411451398,9.636363636,106,0.848,n
1.424766977,9.727272727,107,0.856,m
1.438082557,9.818181818,108,0.864,j
1.451398136,9.909090909,109,0.872,k
1.464713715,10,110,0.88,l
1.478029294,10.09090909,111,0.888,z
1.491344874,10.18181818,112,0.896,f
1.504660453,10.27272727,113,0.904,g
1.517976032,10.36363636,114,0.912,v
1.531291611,10.45454545,115,0.92,b
1.54460719,10.54545455,116,0.928,n
1.55792277,10.63636364,117,0.936,m
1.571238349,10.72727273,118,0.944,a
1.584553928,10.81818182,119,0.952,b
1.597869507,10.90909091,120,0.96,f
1.611185087,11,121,0.968,q
1.624500666,11.09090909,122,0.976,w
1.637816245,11.18181818,123,0.984,e
1.651131824,11.27272727,124,0.992,r
1.664447403,11.36363636,125,1,t
1.677762983,11.45454545,126,1.008,y
1.691078562,11.54545455,127,1.016,u
1.704394141,11.63636364,128,1.024,i
1.71770972,11.72727273,129,1.032,o
1.7310253,11.81818182,130,1.04,p
